~	-ish
᠁	(plural)
の	(possess)
	a
💪	able/can
⥁	about/around
◓	above/over
💥	accident/crash
⤼	across
🎭⟿	act/perform
🎭🧑	actor
	actually
➕	add
[~]	adjective
👱~	adult
😱	afraid
◑⏰	after
◑🕛	afternoon
⟲	again
🎂#	age
⚔️~	aggressive
👥👍👍	agree
💨	air
✈️📍	airport
🚫💀	alive
∀	all
↦💪	allow
⤺⟢	already
&	also/and
♾️	always
=	am/is
🤩~	amazing
	an
&	and
[🐘🐁]	animal
🗣️✨	announce
⧉の	another
∃	any/some
∃👤	anyone/someone
∃⬚	anything/something
∃⏰	anytime/sometime
∃⌥	anyway
🏢◱	apartment
📱🧮	app
🫥😐	appear
🍎	apple
🗣👍	approve
4🌙	April
=	are/is
👤💪	arm
🪖🎖️	army
⥁	around
🛬	arrive
[🖼️]	art
⚖️	as/same
🗣？	ask
📥🛌	asleep
🛠️🧑‍🤝‍🧑🧑	assistant/helper
@	at
⤺🍽️😋	ate
👊	attack/hit
8🌙	August
✍️🧑	author
⛺🏕️	away
◐	back
👤◐	back
🏠◐🪴	backyard
👎	bad
🛍	bag
[🎾🧶]	ball
🎶👥	band
🍻📍	bar
◡	base/bottom
🏠◡	basement
🛁	bathe
🛁⟿	bathe
🚻	bathroom/restroom
=♾️	be
🏖️📍	beach
👤🧔‍♂️◔	beard
💓	beat
🪞🤩	beautiful
⤺🐛🦋	became
∵	because
🐛🦋	become
🛏◱	bedroom
🐄🍖	beef
🐄🥩	beef
🍺	beer
◐⏰	before
▶️	begin
◐	behind/back
💭♾️	believe
◒	below/under
🔨⌒	bend
⤺🔨⌒	bent
🔨⌒~	bent
💯	best
⇈👍	better
⧲	between
[🥛]	beverage
🐘~	big
📄💵	bill
🎂☀️	birthday
⬛	black
😇	blessed/nice
🦯~	blind
🩸	blood
🟦	blue
[🛥️]	boat
👤∀	body
📕	book
🥱	boring
𐄚	both
🍾	bottle
◡	bottom
⤺💵↹⬚	bought
📦	box
💋👨	boyfriend
💔	break
🌅🍽️	breakfast
🌉	bridge
🔅🔆	bright
🎒→	bring/carry
⤺💥	broke/crashed
🔗👦	brother
⤺🎒	brought/carried
🟫	brown
	btw
🔨⟿	build/make
🏢	building
⤺🔨⟿	built/made
🝞	bump
🔥⟿	burn
🚌	bus
🐝~	busy
⇤	but
💵↹⬚	buy
⩕	by
🎂	cake
📞	call
⤺←	came
🏕️📍	camp
💪	can
🚫💪	cannot
🚫💪	cant/cannot
🚗	car
🚗	car
[🃏]	card
🧑‍⚕️⟿	care
⤺🎒→	carried
🎒→	carry
🕸️	catch
🏠◱◠	ceiling
👤🦠◔	cell
⏀	center
🧩🧗	challenge
🔄	change
⇊💵	cheap
☑	check
🧀	cheese
🧒	child
⌥	choose
◯	circle
🏙	city
🧑‍🏫⏰	class
🧱🧪	clay
🧼~	clean
🧼⟿	clean
🪟~	clear
🕰	clock
📖📕	close
🏕️⛺	close/near
[👖]	clothes
[👖]	clothing/clothes
☁️~	cloudy
💃📍	club
🧥	coat
☕	coffee
🥶	cold
↤	collect/get
🎨	color
←	come
🎛️	complex
💻	computer
☑	confirm/check
💭😕	confused
💭	consider/think
🪵🔊	consonant
📞	contact/call
〰️	continue
⚖️📜	contract
🍳	cook
😎	cool
⧉	copy
⟓	corner
✅	correct
⤺💪	could
🔢⟿	count
[🏳️]	country
⬇️◓	cover
💥	crash
⤺💥	crashed
🤪	crazy
✍️⟿	create
👥👥	crowd
😭⟿	cry
🥃	cup
⌒	curve
✂️	cut
🧸	cute
👨‍🍼	dad/father
💃	dance
☠️	dangerous
🚫💡	dark
📅	date
👧	daughter/girl
☀️	day
💀~	dead
🧏	deaf
💀	death
12🌙	December
🧑‍⚖️	decide
📉	decrease
⌈💧	deep
😋	delicious
🛫	depart
🔨⟿	develop/make
⤺	did
💀⟿	die
⊶	different
🧩~	difficult
⛏️	dig
🌃🍽️	dinner
🧭	direction
🟫⛳	dirt
🚫🧼~	dirty
👥👍👎	disagree
🚫↦💪	disallow
😐🫥	disappear
🗣👎	disapprove
🤒🦠	disease
⟿	do
🚫⟿	do not
🧑‍⚕️	doctor
⟿	does/do
🚫⟿	doesnt/do not
💲	dollar
⌛	done
🚫⟿	dont/do not
·	dot
⬇️	down
🔋🪫	drain
✍️🖼	draw
🛌💭	dream
⤺✍️🖼	drew
🥛⟿	drink
[🥛]	drink/beverage
🚗⟿	drive
🍁	drop/fall
💊	drug
🚫💧~	dry
⤺⛏️	dug
🚫🧠	dumb
⏰↕	duration
〰️	during/continue
	dust
∀	each/all
⇈🌅	earlier
🌅	early/morning
↤💵	earn
🌍	Earth/world
⥤🧭	east
🚫🧩	easy
🍽️😋	eat
	either
💪⏀🔗	elbow
🗳⏰	election
⚡~	electric
⚡~	electronic/electric
[📺]	electronics
	else
📧	email
😳	embarrassed
🖼️💬	Emojese
🪺🪹	empty
🏁	end
⚡	energy
⚡	energy/power
⚙️	engine/machine
😄⟿	enjoy
⍐	enough
🧿	envy
⏸	even
🌃	evening/night
∀	every/all
∀👤	everyone
∀⬚	everything
∀📍	everywhere
🎯	exact
📄☐☑	exam/test
↹	exchange
[🏃]	exercise
💦	exhausted
🤰	expect
⇈💵	expensive
↦🎓	explain
💣💥	explode
👤◑	face
🍁	fall
🍁⏰	fall
⊥	false
⇲📰の	famous
🏟️🧑	fan
⛺🏕️	far
🧑‍🌾📍	farm
⏩	fast
🐘~	fat/big
👨‍🍼	father
2🌙	February
⤺↦🍲	fed
↦🍲	feed
[😀]⟿	feel
🖐⟿	feel/touch
[😀]	feeling
⤺[😀]	felt
♀️	female
🝆	few/several
⚔️	fight
⤺⚔️	fight
🪫🔋	fill
🏁	finally/end
🔍	find
👍	fine/good
✋◔	finger
🏁	finish/end
1️⃣の	first
🫓~	flat
⤺🛩⟿	flew
⤺🛩⟿	flew
🏠◱◡	floor
🌼	flower
🛩⟿	fly
↤🐕‍🦺	follow
🍲	food
↬	for/to
🌲🌳	forest
♾️	forever/always
🎓🚮	forget
⤺🎓🚮	forgot
🍴−🔪	fork
⎄	form/shape
⤺🔍	found
０💵	free
5☀️	Friday
🫂🧑	friend
🫂🧑~	friendly
↫	from
◑	front
⛽	fuel
⍐	full / enough
。	full stop
😀	fun
[🎲🃏]	game
🌱📍	garden
⛽	gasoline/fuel
⤺↦	gave
⚣	gay
[♀️♂]	gender
↤	get
🐿️⟿	get ready/prepare
🎁	gift
💋👩	girlfriend
↦	give
🪟🧪	glass
→	go
🥅	goal
🔱	god
🥇🧪	gold
👍	good
👋👋	goodbye
⤺↤	got
🏛️	government
🏛️の	governmental
🌾	grain
◐👨‍🍼	grandfather
◐👩‍🍼	grandma/grandmother
◐👩‍🍼	grandmother
◐👨‍🍼	grandpa/grandfather
🟩⛳	grass
🪨🎨	gray
🦸	great/super
🟩	green
⤺🌱🌳	grew
🪨🎨	grey/gray
𐄪	grid
⛳	ground
⟨ ⟩	group
🌱🌳	grow
🗣️🔮	guess
🔫	gun
👨	guy/man
⤺💁	had
🤣	haha/laugh
🦰	hair
½	half
🤚	hand
🪝⟿	hang
⟢	happen
😄	happy
🪵🖐	hard
💁	has
[🎩]	hat
😠	hate
💁	have/has
👨👈	he
👤◔	head
❤️‍🩹	heal
🚫🤒	healthy
👂	hear
⤺👂	heard
🫀	heart
♨️	heat
👼📍	heaven
🏋️~	heavy
⤺🤲	held
👿📍	hell
👋	hello
🛠️🧑‍🤝‍🧑	help
🛠️🧑‍🤝‍🧑🧑	helper
👩👈の	her
👩👈	her/she
👉📍	here
👩🤳	herself
👋	hey/hello
👋	hi/hello
⌈	high
🥾⟿	hike
🤏🏔	hill
🙍‍♂️👈	him/he
🙍‍♂️🤳	himself
🙍‍♂️👈の	his
👊	hit
🤔	hmm
🤲	hold
🏠	home
💭🕊	hope
🤏🥵	hot
🕑	hour
__🔨	how
__⏰↕	how long
__↕	how much
🫂	hug
🧑	human/person
⤺🪝⟿	hung
❤️‍🔥🍽️	hungry
🤕💥⟿	hurt
💍👨	husband
👇	I
💡	idea
🔮	if
🖼	image/picture
‼️	important
📥	in
◑	in front/front
🗳	include
❌	incorrect/wrong
📈	increase
🗣	inform/say
🤕	injury
⚆	inside
[🎻]	instrument
🤔~	interesting
🌍🌐	internet
⇲	into
🫥	invisible
=	is
≠	is not
🏝️	island
≠	isnt/is not
⬚	it
⬚の	its
⬚🤳	itself
1🌙	January
🧿💔	jealous
🛠️↹💵	job
🤝	join/meet
🧃	juice
7🌙	July
🐇⟿	jump
6🌙	June
	just
💾	keep
🦵⚽️⟿	kick
🧒	kid/child
↦💀	kill
👤↦💀	killer
🤴	king
🍳📍	kitchen
🦵⏀🔗	knee
⤺🎓♾️	knew
🔪	knife
🎓♾️	know
🎓	knowledge
🤏🌊📍	lake
💡⚙️	lamp
☷	land
🐘~	large/big
🏁の	last
🌃	late/night
⇈🌃	later
🤣	laugh
⚖️🧑	lawyer
🦥~	lazy
🦮	lead
🍃	leaf
🎓↤	learn
⤓	least
⎋	leave
⤺🦮	led
↰	left
⤺⎋	left
⚢	lesbian
⇊	less
↦	let/give
🇦	letter
📚📍	library
🤥	lie
[🌱]	life
🏋️	lift
🪶~	light
🔅🔆	light/bright
💙	like
👤🫦	lip
🔊👂	listen
🤏	little/small
🕊️⟿	live
📍	location/place
🔒	lock
🤣	lol/laugh
🐍~	long
👀	look/see
|⟷|	loose/wide
🚫🎓📍	lose
⤺🚫🎓📍	lost
𐄡	lot/many
📢	loud
❤️	love
⌊	low
🍀	luck
🍀~	lucky
🕛🍽️	lunch
⚙️	machine
⤺🔨⟿	made
⇥⇤📕	magazine
✉️	mail/message
1️⃣の	main/first
🔨⟿	make
♂	male
◓🧑	manager
𐄡	many
🗺️	map
3🌙	March
💍↹💍	marriage
⚭	married
💍⟿	marry
🧪	material/substance
5🌙	May
🎲	may/maybe
🎲	maybe
👇	me/I
🍽️	meal
👺~	mean
🥩	meat
⚕️	medicine
⏀	medium/center
🤝	meet
🤝	meeting/meet
🫠	melt
✉️	message
⤺🤝	met
🪙🧪	metal
⏀	middle/center
⤺🎲	might
🎖️	military
🥛	milk
🧠	mind
👇の	mine/my
🤏🕑	minute
💔	miss
⤭	mix
👩‍🍼	mom/mother
1☀️	Monday
💵	money
🗓️	month
🌙	moon
⇈	more
🌅	morning
>½	most
⤒	most
👩‍🍼	mother
👄	mouth
🚛	move
🎞️	movie
⇈	much/more
↦💀	murder/kill
🎶	music
❗	must
👇の	my
👇🤳	myself
📛	name
🤏🛌	nap
⇥⇤	narrow
[🏔🍃]	nature
⚓️🎖️	navy
🏕️⛺	near
👤◡◔	neck
	neck
❤️‍🔥↤	need
🪡➖🧵	needle
⏭️🏠🧑	neighbor
🌐	network
🚫⏰	never
✨	new
⏭️	next
😇	nice
🌃	night
👎	no/bad
🚫👤	nobody
🕛	noon
⥣🧭	north
🚫	not
🚫⟢	not yet
📝	note
🚫⬚	nothing
🗣️🔔	notify
[⬚]	noun
🏝	noun
11🌙	November
👉⏰	now
🚫📍	nowhere
☢️~	nuclear
#	number
🌊📍	ocean
10🌙	October
	of
↥	off
⬚↹？	offer
🛠️📍	office
😲	oh
🛢	oil
🆗	OK
🆗	okay/OK
🧓~	old
🤯	omg
⊻	on
1⏰	once
🌐の	online
⢀	only
📕📖	open
↔️	or
🍊	orange
🟧	orange
⊶	other/different
👇👇の	our
👇👇🤳	ourself
📤	out
⧂	outside
◓	over
